21_classnames
Apple
Blueberry
Cherry
Chilly
Corn
Cotton
Grape
Groundnut
Guava
Lemon
Mango
Orange
Peach
Pepper_bell
Potato
Rasberry
Soyabean
Squash
Strawberry
Sunflower
Tomato
