loss,categorical_accuracy,val_loss,val_categorical_accuracy
0.9167783260345459,0.7499169707298279,0.3187324106693268,0.9298318028450012
0.2532944083213806,0.9352297782897949,0.17775003612041473,0.9579853415489197
0.16484631597995758,0.9558200836181641,0.1282830685377121,0.9688271880149841
0.12649814784526825,0.9655548334121704,0.10293734073638916,0.9738461971282959
0.10471950471401215,0.97125244140625,0.08784565329551697,0.9777085185050964
0.09179698675870895,0.974604606628418,0.0778174176812172,0.9798455238342285
0.0821254625916481,0.9770227074623108,0.0711643323302269,0.9810610413551331
0.07542013376951218,0.978735089302063,0.06549970805644989,0.9825902581214905
0.07017681002616882,0.9801984429359436,0.06122680380940437,0.9834725260734558
0.06557077914476395,0.9816306233406067,0.058276619762182236,0.983982264995575
0.062370892614126205,0.9827410578727722,0.055532801896333694,0.9846096634864807
0.05915071442723274,0.9833949208259583,0.05310196802020073,0.9851586222648621
0.05650000274181366,0.9835401773452759,0.05009244754910469,0.9862761497497559
0.05364945903420448,0.9848790168762207,0.04945561662316322,0.9861977100372314
0.05221007019281387,0.9848997592926025,0.04725265130400658,0.9869034886360168
0.050610315054655075,0.985325276851654,0.04561823979020119,0.9872564077377319
0.049423061311244965,0.9855120778083801,0.044949114322662354,0.9871583580970764
0.047593966126441956,0.9858130216598511,0.043907854706048965,0.9872956275939941
0.046477608382701874,0.986477255821228,0.04261685162782669,0.9877857565879822
0.04596220701932907,0.9865706562995911,0.04152945056557655,0.9880406260490417
0.04312844201922417,0.9875980615615845,0.04236093908548355,0.9875701069831848
0.04302983731031418,0.987265944480896,0.040564123541116714,0.9879817962646484
0.04244938865303993,0.9876914620399475,0.03914035111665726,0.9884915351867676
0.041932523250579834,0.9875669479370117,0.03980416804552078,0.9882758855819702
0.03980213776230812,0.9881377220153809,0.038795653730630875,0.9886288046836853
